StopCode,StopName,Country,StopLat,StopLng
HT,'s-Hertogenbosch,NL,51.69048,5.29362
HTO,'s-Hertogenbosch Oost,NL,51.700553894043,5.3183331489563
HDE,'t Harde,NL,52.4091682,5.893611
AHBF,Aachen Hbf,D,50.7678,6.091499
AW,Aachen West,D,50.78036,6.070715
ATN,Aalten,NL,51.921326524551,6.5786272287369
AC,Abcoude,NL,52.2785,4.977
EAHS,Ahaus,D,52.079796120944,7.0163583755493
AIME,Aime-la-Plagne,F,45.55438,6.64869
ACDG,Airport Charles de Gaulle,F,49.004048,2.571133
AIXTGV,Aix-en-Provence TGV,F,43.522819077343,5.4453134536743
AKM,Akkrum,NL,53.046390533447,5.843611240387
ALBERT,Albertville,F,45.67302,6.38306
AMR,Alkmaar,NL,52.63777923584,4.7397222518921
AMRN,Alkmaar Noord,NL,52.643890380859,4.7641668319702
AML,Almelo,NL,52.358055114746,6.6538887023926
AMRI,Almelo de Riet,NL,52.341945648193,6.6666665077209
ALMB,Almere Buiten,NL,52.394165039062,5.2780556678772
ALM,Almere Centrum,NL,52.37503,5.21764
ALMM,Almere Muziekwijk,NL,52.367500305176,5.1902775764465
ALMO,Almere Oostvaarders,NL,52.403331756592,5.3005557060242
ALMP,Almere Parkwijk,NL,52.376667022705,5.244722366333
AMPO,Almere Poort,NL,52.342778,5.151944
APN,Alphen a/d Rijn,NL,52.124443054199,4.6577777862549
EABG,Altenberge,D,52.05223,7.481202
AMF,Amersfoort Centraal,NL,52.153888702393,5.3705554008484
AMFS,Amersfoort Schothorst,NL,52.174822137451,5.4038887023926
AVAT,Amersfoort Vathorst,NL,52.192779541016,5.4338889122009
ASA,Amsterdam Amstel,NL,52.346668243408,4.9177780151367
ASB,Amsterdam Bijlmer ArenA,NL,52.3122215271,4.9469442367554
ASD,Amsterdam Centraal,NL,52.378887176514,4.9002776145935
ASHD,Amsterdam Holendrecht,NL,52.29844,4.95972
ASDL,Amsterdam Lelylaan,NL,52.357776641846,4.8338890075684
ASDM,Amsterdam Muiderpoort,NL,52.360553741455,4.9311113357544
RAI,Amsterdam RAI,NL,52.337223052979,4.8902778625488
ASSP,Amsterdam Science Park,NL,52.35526,4.94651
ASS,Amsterdam Sloterdijk,NL,52.388889312744,4.8377776145935
ASDZ,Amsterdam Zuid,NL,52.338889,4.872356
AMST,Amstetten NÖ,A,48.578476,9.873496
ANA,Anna Paulowna,NL,52.867221832275,4.8111109733581
BERCH,Antwerpen-Berchem,B,51.198914,4.4332
ATW,Antwerpen-Centraal,B,51.21686,4.421242
ATWLB,Antwerpen-Luchtbal,B,51.2449375,4.4251543
ANDD,Antwerpen-Noorderdokken,B,51.261686,4.4274315
FNZD,Antwerpen-Zuid,B,51.19785,4.39027
APD,Apeldoorn,NL,52.209167480469,5.9702777862549
APDM,Apeldoorn De Maten,NL,52.205276489258,6.0005555152893
APDO,Apeldoorn Osseveld,NL,52.215278625488,6.0044445991516
APG,Appingedam,NL,53.3258135,6.8619577
AKL,Arkel,NL,51.87194442749,4.9927778244019
ARN,Arnemuiden,NL,51.501667022705,3.6691665649414
AH,Arnhem Centraal,NL,51.985000610352,5.8991665840149
AHPR,Arnhem Presikhaaf,NL,51.988056182861,5.9438886642456
AHP,Arnhem Velperpoort,NL,51.985279083252,5.9194445610046
AHZ,Arnhem Zuid,NL,51.955001831055,5.8519444465637
ASN,Assen,NL,52.991664886475,6.5708332061768
MA,Augsburg Hbf,D,48.365430714393,10.88547706604
AVTGV,Avignon TGV,F,43.92194,4.78604
BRN,Baarn,NL,52.208332061768,5.2808332443237
BH,Bad Bentheim,D,52.309685595156,7.1585369110107
